id,性价比,性能,续航,外观,拍照,4-5星,3-4星,2-3星,1-2星,score,descript,evaluate_url
1383253,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1384/1383253/review.shtml
1348983,8.3,7.5,8.6,9.1,8.4,None,None,None,None,8.6,手感舒适、屏幕显示出色、价格高、性能差,http://detail.zol.com.cn/1349/1348983/review.shtml
1315023,8.5,9.2,7.6,8.9,9.1,None,None,None,None,7.3,性能不错、手感舒适、系统流畅、音色音质好、续航一般,http://detail.zol.com.cn/1316/1315023/review.shtml
1338631,8.4,8.8,9.1,8.2,8.6,None,None,None,None,8.9,None,http://detail.zol.com.cn/1339/1338631/review.shtml
1390597,6,9.2,7.6,9.2,6,None,None,None,None,8.2,性能好、外观漂亮、屏幕效果好、屏幕大,http://detail.zol.com.cn/1391/1390597/review.shtml
1494622,5.3,6.9,6.9,5.3,6.9,None,None,None,None,7.8,None,http://detail.zol.com.cn/1495/1494622/review.shtml
1300183,6.5,7.7,6.9,7.3,8.5,None,None,None,None,7.8,外观漂亮、屏幕效果好、分辨率低、信号差,http://detail.zol.com.cn/1301/1300183/review.shtml
1424046,7.6,9.2,5.2,10,7.6,None,None,None,None,9.9,性能不错、外观漂亮、续航一般,http://detail.zol.com.cn/1425/1424046/review.shtml
1430379,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1431/1430379/review.shtml
1348063,8.6,9.1,8.8,8.7,8.7,None,None,None,None,7.7,None,http://detail.zol.com.cn/1349/1348063/review.shtml
1395983,7.2,7.2,7.2,7.2,7.2,None,None,None,None,9.1,None,http://detail.zol.com.cn/1396/1395983/review.shtml
1301238,7.7,8.5,7.6,8.1,8.4,None,None,None,None,7.8,电池容量大、外观漂亮、信号好、手感一般、性价比不高、处理器性能一般、续航一般,http://detail.zol.com.cn/1302/1301238/review.shtml
1342805,8.4,9.0,8.2,8.2,9.0,None,None,None,None,8.0,None,http://detail.zol.com.cn/1343/1342805/review.shtml
1448934,6.5,8.1,7.5,8.3,7,None,None,None,None,9.4,外观漂亮、屏幕效果好、价格便宜、电池容量小、外观不是很满意、性价比不高,http://detail.zol.com.cn/1449/1448934/review.shtml
1448953,6.6,8.2,6.6,9.8,8.2,None,None,None,None,9.9,None,http://detail.zol.com.cn/1449/1448953/review.shtml
1292551,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1293/1292551/review.shtml
1382507,8.0,9.3,7.5,9.7,9.0,None,None,None,None,8.5,None,http://detail.zol.com.cn/1383/1382507/review.shtml
1398123,7.4,8.3,6.1,8.6,8.3,None,None,None,None,9.6,手感舒适,http://detail.zol.com.cn/1399/1398123/review.shtml
1330789,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1331/1330789/review.shtml
1796971,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1797/1796971/review.shtml
1350533,8.0,9.3,7.5,9.7,9.0,None,None,None,None,8.5,None,http://detail.zol.com.cn/1351/1350533/review.shtml
1347064,7.2,8.3,7.8,7.8,7.8,None,None,None,None,8.6,外观漂亮、电池表现差,http://detail.zol.com.cn/1348/1347064/review.shtml
1345628,8.8,9.2,8.0,8.7,8.6,None,None,None,None,9.4,音色音质好、运行流畅、处理器性能一般、电池容量小、信号差,http://detail.zol.com.cn/1346/1345628/review.shtml
1326800,8.5,9.1,8.4,8.3,7.8,None,None,None,None,9.3,续航一般,http://detail.zol.com.cn/1327/1326800/review.shtml
1310746,9.4,9.8,9.9,9.7,5.8,None,None,None,None,8.4,None,http://detail.zol.com.cn/1311/1310746/review.shtml
1975491,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1976/1975491/review.shtml
1310745,7.7,9.5,6.9,10.0,10.0,None,None,None,None,9.0,分辨率高、性能好、续航出色、手感舒适、屏幕显示出色、续航一般,http://detail.zol.com.cn/1311/1310745/review.shtml
1448951,6.6,8.2,6.6,9.8,8.2,None,None,None,None,9.9,None,http://detail.zol.com.cn/1449/1448951/review.shtml
1430375,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1431/1430375/review.shtml
1407687,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1408/1407687/review.shtml
1463249,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1464/1463249/review.shtml
1424048,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1425/1424048/review.shtml
1448933,6.5,8.1,7.5,8.3,7,None,None,None,None,9.4,价格便宜、外观漂亮、屏幕效果好、外观不是很满意、性价比不高、电池容量小,http://detail.zol.com.cn/1449/1448933/review.shtml
1984415,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1985/1984415/review.shtml
1975485,2.3,8.7,5.5,8.7,8.7,None,None,None,None,8.5,None,http://detail.zol.com.cn/1976/1975485/review.shtml
1975484,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1976/1975484/review.shtml
1271285,3.2,8,1.6,8,8,None,None,None,None,7.8,None,http://detail.zol.com.cn/1272/1271285/review.shtml
1897371,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1898/1897371/review.shtml
1321232,8.4,9.7,8.3,8.5,9.4,None,None,None,None,8.3,None,http://detail.zol.com.cn/1322/1321232/review.shtml
1370969,8.4,7.9,8.4,7.9,5.8,None,None,None,None,7.8,性能好、续航出色、分辨率低,http://detail.zol.com.cn/1371/1370969/review.shtml
1465382,2.3,8.7,5.5,8.7,8.7,None,None,None,None,8.5,None,http://detail.zol.com.cn/1466/1465382/review.shtml
1403115,6.5,8.1,7.5,8.3,7,None,None,None,None,9.4,外观漂亮、屏幕效果好、价格便宜、外观不是很满意、性价比不高、电池容量小,http://detail.zol.com.cn/1404/1403115/review.shtml
1438747,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1439/1438747/review.shtml
1403116,6.6,8.2,6.6,9.8,8.2,None,None,None,None,9.9,None,http://detail.zol.com.cn/1404/1403116/review.shtml
1772411,None,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1773/1772411/review.shtml
