id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1351474,高通骁龙865,None,7.8英寸需双手打字,1920x1440px2K超清,6400万像素高清级像素,None,4450mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1352/1351474/param.shtml,https://2b.zol-img.com.cn/product/222_320x240/845/ceOKPPkNcwceo.jpg
1409213,联发科P60,2022年04月,5.99英寸可单手打字,2160x1080px1080P高清,4800万像素高清级像素,None,4850mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1410/1409213/param.shtml,https://2e.zol-img.com.cn/product/219_320x240/256/ceN6COZsesGTk.jpg
1409211,联发科P60,2022年05月,5.99英寸可单手打字,2160x1080px1080P高清,4800万像素高清级像素,None,4850mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1410/1409211/param.shtml,https://2b.zol-img.com.cn/product/219_320x240/205/cesCWwmQGpFD.jpg
1505625,紫光展锐虎贲T7510,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1506/1505625/param.shtml,None
1782442,MTK6833,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1783/1782442/param.shtml,None
1343085,联发科HelioP70,None,7.2英寸需双手打字,2244x1080px1080P高清,3600万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1344/1343085/param.shtml,https://2a.zol-img.com.cn/product/222_320x240/10/cevB6EQvb5Bjs.jpg
1396960,联发科HelioP70,None,5.99英寸可单手打字,2246x1080像素1080P高清,4800万像素高清级像素,800万像素普通级像素,4850mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1397/1396960/param.shtml,https://2b.zol-img.com.cn/product/217_320x240/401/ce6qYBL9ZJ4I.jpg
1356730,联发科HelioP70,None,7.2英寸需双手打字,2244x1080像素1080P高清,3600万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1357/1356730/param.shtml,https://2f.zol-img.com.cn/product/210_320x240/99/cechMpImMs.jpg
1307795,高通骁龙835（MSM8998）,None,6.19英寸需双手打字,2246x1080像素1080P高清,1600万像素高清级像素,1300万像素高清级像素,3300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1308/1307795/param.shtml,https://2d.zol-img.com.cn/product/203_320x240/9/cejh3tLytLVyc.jpg
1351476,高通骁龙865,None,7.8英寸需双手打字,1920x1440px2K超清,6400万像素高清级像素,None,4450mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1352/1351476/param.shtml,https://2f.zol-img.com.cn/product/222_320x240/861/cefSPojyqCGc.jpg
1397176,联发科HelioP70,None,5.99英寸可单手打字,2246x1080像素1080P高清,4800万像素高清级像素,800万像素普通级像素,4850mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1398/1397176/param.shtml,https://2e.zol-img.com.cn/product/217_320x240/792/ce1hnWpY6mYbY.jpg
1396970,联发科HelioP70,None,6.5英寸需双手打字,2244x1080像素1080P高清,1600万像素高清级像素,800万像素普通级像素,5800mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1397/1396970/param.shtml,https://2f.zol-img.com.cn/product/217_320x240/483/ceeuispFSheB2.jpg
1553892,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1554/1553892/param.shtml,None
1206035,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1207/1206035/param.shtml,https://2b.zol-img.com.cn/product/188_320x240/457/ceuBL7BZ9SbR.jpg
1212432,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1213/1212432/param.shtml,https://2b.zol-img.com.cn/product/190_320x240/387/ceVewIQJ1xKY.jpg
