id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1992906,高通骁龙8Gen3,2024年04月3日,8.03英寸需双手打字,2480x2200px4K超高清,5000万像素高清级像素,3200万像素高清级像素,5700mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1993/1992906/param.shtml,https://2b.zol-img.com.cn/product/260_320x240/361/ceo7r8wZNsRA.jpg
1486867,高通骁龙778G+,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,4600mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1487/1486867/param.shtml,https://2e.zol-img.com.cn/product/238_320x240/642/ceXSADHj5LXLI.jpg
1772541,高通骁龙8Gen2,2024年3月26日,8.03英寸需双手打字,2480×2200px4K超高清,5000万像素高清级像素,3200万像素高清级像素,5500mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1773/1772541/param.shtml,https://2e.zol-img.com.cn/product/260_320x240/316/cekVFlB8nB0NA.jpg
1772535,联发科天玑9300,None,6.78英寸,2800x1260px,暂无数据,后置摄像头1,5000mAh,不可拆卸式电池（双电芯）,八核,12GB,http://detail.zol.com.cn/1773/1772535/param.shtml,None
1959978,高通骁龙7Gen3,2024年1月13日开售,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1960/1959978/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/344/ceatGzeWTfWu2.jpg
1959983,联发科天玑9200+,2024年1月13日,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1960/1959983/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/464/ceUiVvpiQZUX2.jpg
1772537,联发科天玑9300,None,6.78英寸,2800x1260px,暂无数据,后置摄像头1,5400mAh,不可拆卸式电池（双电芯）,八核,12GB,http://detail.zol.com.cn/1773/1772537/param.shtml,None
1772539,高通骁龙8Gen3,None,6.78英寸需双手打字,3200x1440px2K超清,5000万像素高清级像素,3200万像素高清级像素,4700mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1773/1772539/param.shtml,https://2d.zol-img.com.cn/product/246_320x240/629/ce25ezXd2qxM.jpg
1948979,联发科天玑9300,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1949/1948979/param.shtml,https://2d.zol-img.com.cn/product/256_320x240/813/ce0KonBypGQxQ.jpg
1950436,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1951/1950436/param.shtml,None
1966948,联发科天玑7200,2024年1月13日,6.67英寸需双手打字,2400x1080px1080P高清,5000万像素高清级像素,1600万像素高清级像素,4800mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1967/1966948/param.shtml,https://2d.zol-img.com.cn/product/258_320x240/645/ceY4qqfqIl6w.jpg
1434230,联发科天玑9200,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4810mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1435/1434230/param.shtml,https://2e.zol-img.com.cn/product/224_320x240/356/ce1dz1mWoQyFE.jpg
1993142,高通骁龙8Gen3,2024年04月3日,8.03英寸需双手打字,2480x2200px4K超高清,5000万像素高清级像素,3200万像素高清级像素,5700mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1994/1993142/param.shtml,https://2b.zol-img.com.cn/product/260_320x240/361/ceo7r8wZNsRA.jpg
1428480,高通骁龙8Gen2,None,6.78英寸需双手打字,3200x1440px2K超清,5000万像素高清级像素,3200万像素高清级像素,4700mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1429/1428480/param.shtml,https://2b.zol-img.com.cn/product/224_320x240/281/ce3sATZEY6IIM.jpg
1392791,联发科天玑9000,None,6.78英寸需双手打字,2400x1080px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1393/1392791/param.shtml,https://2f.zol-img.com.cn/product/221_320x240/561/cerBTzeyG5WJA.jpg
1342511,三星Exynos1080,2021年01月08日,6.56英寸需双手打字,2376x1080像素1080P高清,4800万像素高清级像素,3200万像素高清级像素,4300mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1343/1342511/param.shtml,https://2e.zol-img.com.cn/product/210_320x240/450/ceWY3uXZI6QIo.jpg
1948986,联发科天玑9300,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,3200万像素高清级像素,5400mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1949/1948986/param.shtml,https://2c.zol-img.com.cn/product/256_320x240/944/cexok4a1D5FOU.jpg
1473779,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1474/1473779/param.shtml,https://2b.zol-img.com.cn/product/234_320x240/377/cezBttIMamiS.jpg
1930410,None,2023年10月310日,6.78英寸,2400x1080px,暂无数据,后置摄像头1,5000mAh,不可拆卸式电池,八核,8GB,http://detail.zol.com.cn/1931/1930410/param.shtml,None
1402543,高通骁龙870巅峰版,2022年05月27日,6.62英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,3200万像素高清级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1403/1402543/param.shtml,https://2f.zol-img.com.cn/product/219_320x240/945/ceqp7EGHh05A.jpg
1966881,高通骁龙7Gen3,2024年1月13日开售,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1967/1966881/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/344/ceatGzeWTfWu2.jpg
1637674,高通骁龙778G+,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,4600mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1638/1637674/param.shtml,https://2e.zol-img.com.cn/product/238_320x240/642/ceXSADHj5LXLI.jpg
1473778,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1474/1473778/param.shtml,https://2a.zol-img.com.cn/product/237_320x240/786/ceiroFTZTY06.jpg
1505454,联发科天玑9200+,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,3200万像素高清级像素,4810mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1506/1505454/param.shtml,https://2d.zol-img.com.cn/product/246_320x240/111/ceQcoTBP01jXQ.jpg
1429771,高通骁龙870,None,6.78英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,5000万像素高清级像素,4600mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1430/1429771/param.shtml,https://2a.zol-img.com.cn/product/225_320x240/944/ceU9ZSKePLA.jpg
1948987,联发科天玑9300,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,3200万像素高清级像素,5400mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1949/1948987/param.shtml,https://2c.zol-img.com.cn/product/256_320x240/944/cexok4a1D5FOU.jpg
1438320,高通骁龙8Gen2,None,8.03英寸需双手打字,2160x1916像素2K超清,5000万像素高清级像素,1600万像素高清级像素,4800mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1439/1438320/param.shtml,https://2a.zol-img.com.cn/product/234_320x240/134/ceBrpgcl1rvxE.jpg
1486869,联发科天玑8200,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,4600mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1487/1486869/param.shtml,https://2d.zol-img.com.cn/product/238_320x240/665/cei5Euvt9m1hk.jpg
1935477,None,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1936/1935477/param.shtml,None
1970828,联发科天玑9300,None,None,None,None,None,None,None,None,None,http://detail.zol.com.cn/1971/1970828/param.shtml,None
1948980,联发科天玑9300,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,3200万像素高清级像素,5000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1949/1948980/param.shtml,https://2d.zol-img.com.cn/product/256_320x240/813/ce0KonBypGQxQ.jpg
1436800,高通骁龙8+Gen1,None,6.74英寸需双手打字,2520x1080像素1080P高清,5000万像素高清级像素,3200万像素高清级像素,4400mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1437/1436800/param.shtml,https://2f.zol-img.com.cn/product/234_320x240/773/ce3Ks1CkmaDKM.png
1349841,高通骁龙8Gen1,None,7英寸需双手打字,3080x1440px2K超清,5000万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1350/1349841/param.shtml,https://2a.zol-img.com.cn/product/220_320x240/708/cejmXqjjOVFFI.jpg
1966880,高通骁龙7Gen3,2024年1月13日开售,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,5000万像素高清级像素,5000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1967/1966880/param.shtml,https://2c.zol-img.com.cn/product/258_320x240/344/ceatGzeWTfWu2.jpg
1333373,高通骁龙765G,None,6.44英寸需双手打字,2400x1080像素1080P高清,6400万像素高清级像素,4400万像素高清级像素,4000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1334/1333373/param.shtml,https://2f.zol-img.com.cn/product/206_320x240/575/ceR6ysZ0kTC9M.jpg
