id,cpu,上市日期,主屏尺寸,主屏分辨率,后置摄像头,前置摄像头,电池容量,电池类型,核心数,内存,param_url,img_url
1994508,高通骁龙7Gen1,2024年4月16日,6.9英寸需双手打字,2790x1188px1080P高清,5000万像素高清级像素,1600万像素高清级像素,4310mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1995/1994508/param.shtml,https://2b.zol-img.com.cn/product/261_320x240/335/ceIJYOuqVBFzE.jpg
1968330,高通骁龙8Gen3,2023年12月26日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,24GB游戏运行良好,http://detail.zol.com.cn/1969/1968330/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/516/ceetuj60uQm0I.jpg
1994763,展讯T760,2024年04月12日,6.56英寸需双手打字,1612x720px720P普清,1.08亿像素普通级像素,500万像素普通级像素,5000mAh大电池,None,None,6GB游戏运行良好,http://detail.zol.com.cn/1995/1994763/param.shtml,https://2e.zol-img.com.cn/product/261_320x240/398/ceyKPuxhMXUkA.jpg
1960082,高通骁龙8Gen3,2023年12月26日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1961/1960082/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/516/ceetuj60uQm0I.jpg
1993841,高通骁龙8Gen3,2024年03月28日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1994/1993841/param.shtml,https://2b.zol-img.com.cn/product/260_320x240/789/ce5bRp6smpVR6.jpg
1948879,高通骁龙8Gen3,None,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6500mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1949/1948879/param.shtml,https://2c.zol-img.com.cn/product/256_320x240/326/ceZV4hcz8st4s.png
1957898,高通骁龙8Gen3,2023年11月28日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,5500mAh大电池,None,None,24GB游戏运行良好,http://detail.zol.com.cn/1958/1957898/param.shtml,https://2c.zol-img.com.cn/product/256_320x240/470/cexSd3Pb3hTXU.jpg
1813623,高通骁龙8Gen2（领先版）,None,6.78英寸需双手打字,2800x1260px1080P高清,5000万像素高清级像素,1600万像素高清级像素,5100mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1814/1813623/param.shtml,https://2a.zol-img.com.cn/product/249_320x240/316/ceV5uvWCsbp1w.jpg
1464807,高通骁龙8Gen2,None,6.8英寸需双手打字,2480x1116px1080P高清,6400万像素高清级像素,1600万像素高清级像素,5000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1465/1464807/param.shtml,https://2d.zol-img.com.cn/product/229_320x240/361/ceHxOFK0pIRJM.jpg
1433617,高通骁龙8Gen2,None,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1434/1433617/param.shtml,https://2c.zol-img.com.cn/product/247_320x240/652/ceyG6SHWyjzQg.jpg
1957887,高通骁龙8Gen3,None,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6500mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1958/1957887/param.shtml,https://2c.zol-img.com.cn/product/256_320x240/326/ceZV4hcz8st4s.png
1383770,高通骁龙888Plus,None,6.8英寸需双手打字,2400x1080px1080P高清,6400万像素高清级像素,800万像素普通级像素,4500mAh大电池,None,None,8GB游戏运行良好,http://detail.zol.com.cn/1384/1383770/param.shtml,https://2f.zol-img.com.cn/product/223_320x240/929/cejAq9p2Tao6.jpg
1968328,高通骁龙8Gen3,2023年12月26日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1969/1968328/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/516/ceetuj60uQm0I.jpg
1968329,高通骁龙8Gen3,2023年12月26日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1969/1968329/param.shtml,https://2a.zol-img.com.cn/product/258_320x240/516/ceetuj60uQm0I.jpg
1438707,高通骁龙8Gen2,None,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,6000mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1439/1438707/param.shtml,https://2c.zol-img.com.cn/product/225_320x240/304/cepIicjCwNvA.jpg
1994762,高通骁龙7Gen1,2024年4月16日,6.9英寸需双手打字,2790x1188px1080P高清,5000万像素高清级像素,1600万像素高清级像素,4310mAh大电池,None,None,12GB游戏运行良好,http://detail.zol.com.cn/1995/1994762/param.shtml,https://2b.zol-img.com.cn/product/261_320x240/335/ceIJYOuqVBFzE.jpg
1957896,高通骁龙8Gen3,2023年11月28日,6.8英寸需双手打字,2480x1116px1080P高清,5000万像素高清级像素,1600万像素高清级像素,5500mAh大电池,None,None,16GB游戏运行良好,http://detail.zol.com.cn/1958/1957896/param.shtml,https://2c.zol-img.com.cn/product/256_320x240/470/cexSd3Pb3hTXU.jpg
