id,type,reference_price,descript,url,company,review_url,review_count
1971108,OPPO Find X7 Ultra(12GB/256GB) ,5999,1英寸双潜望四主摄，哈苏影像，第三代骁龙8,http://detail.zol.com.cn/cell_phone/index1971108.shtml,OPPO,http://detail.zol.com.cn/1972/1971108/review.shtml,99
1955910,OPPO Find X7(12GB/256GB) ,3999,潮汐架构，全大核天玑9300，超光影三主摄,http://detail.zol.com.cn/cell_phone/index1955910.shtml,OPPO,http://detail.zol.com.cn/1956/1955910/review.shtml,101
1994643,OPPO A3 Pro(8GB/256GB) ,1999,满级防水，360°抗摔，四年耐用大电池,http://detail.zol.com.cn/cell_phone/index1994643.shtml,OPPO,,0
1494542,OPPO Find N3（12GB/512GB） ,9999,超轻薄折叠，超光影折叠像素，国密认证安全芯片,http://detail.zol.com.cn/cell_phone/index1494542.shtml,OPPO,http://detail.zol.com.cn/1495/1494542/review.shtml,196
1788651,OPPO K11（12GB/512GB） ,2499,CPU型号:高通 骁龙782G CPU核心数:八核 RAM容量:12GB ROM容量:512GB 电池容量:5000mAh 后置摄像头1 后置摄像头:5000万像素 有线充电:100w,http://detail.zol.com.cn/cell_phone/index1788651.shtml,OPPO,http://detail.zol.com.cn/1789/1788651/review.shtml,96
1948894,OPPO Reno 11(8GB/256GB) ,2499,5000万单反级人像三摄，天玑8200旗舰芯，67W超级闪充 ,http://detail.zol.com.cn/cell_phone/index1948894.shtml,OPPO,http://detail.zol.com.cn/1949/1948894/review.shtml,153
1433436,OPPO Reno9 Pro+（16GB/256GB） ,3999,双芯人像摄影系统，骁龙8+旗舰芯片，120Hz OLED超清曲面屏,http://detail.zol.com.cn/cell_phone/index1433436.shtml,OPPO,http://detail.zol.com.cn/1434/1433436/review.shtml,1141
1897137,OPPO A2 Pro（8GB/256GB） ,1799,天玑7050，67W闪充，6.7英寸,http://detail.zol.com.cn/cell_phone/index1897137.shtml,OPPO,http://detail.zol.com.cn/1898/1897137/review.shtml,188
1948895,OPPO Reno 11 Pro(12GB/256GB) ,3499,5000万单反级人像三摄，骁龙8+旗舰芯片，超速大内存,http://detail.zol.com.cn/cell_phone/index1948895.shtml,OPPO,http://detail.zol.com.cn/1949/1948895/review.shtml,152
1972405,OPPO Find X7 Ultra(16GB/512GB) ,6999, 第三代骁龙8，1英寸双潜望四主摄，哈苏影像,http://detail.zol.com.cn/cell_phone/index1972405.shtml,OPPO,http://detail.zol.com.cn/1973/1972405/review.shtml,99
1611438,OPPO K11x（8GB/128GB） ,1499,120Hz刷新，10800万像素，5000mAh电池,http://detail.zol.com.cn/cell_phone/index1611438.shtml,OPPO,http://detail.zol.com.cn/1612/1611438/review.shtml,138
1425427,OPPO Find X6（12GB/256GB） ,4499,哈苏影像，80W闪充，天玑9200,http://detail.zol.com.cn/cell_phone/index1425427.shtml,OPPO,http://detail.zol.com.cn/1426/1425427/review.shtml,220
1425497,OPPO Find X6 Pro（12GB/256GB） ,5999,骁龙8，5000mAh，100W闪充,http://detail.zol.com.cn/cell_phone/index1425497.shtml,OPPO,http://detail.zol.com.cn/1426/1425497/review.shtml,272
1438885,OPPO Reno 10（8GB/256GB） ,2499,"超光影长焦镜头，骁龙778G
5G次旗舰芯片，80W超级闪充",http://detail.zol.com.cn/cell_phone/index1438885.shtml,OPPO,http://detail.zol.com.cn/1439/1438885/review.shtml,176
1972404,OPPO Find X7 Ultra(16GB/256GB) ,6499,1英寸双潜望四主摄，2K钻石屏，第三代骁龙8,http://detail.zol.com.cn/cell_phone/index1972404.shtml,OPPO,http://detail.zol.com.cn/1973/1972404/review.shtml,83
1935482,OPPO A2m(6GB/128GB) ,1499,5000mAh电池，300%超级音量，金刚石抗摔结构,http://detail.zol.com.cn/cell_phone/index1935482.shtml,OPPO,http://detail.zol.com.cn/1936/1935482/review.shtml,74
1966826,OPPO Find X7 Pro ,0,,http://detail.zol.com.cn/cell_phone/index1966826.shtml,OPPO,,0
1348585,OPPO Find X3（8GB/128GB/全网通/5G版） ,3999,10亿色双主摄，10亿色臻彩屏，全链路10bit色彩引擎，未来流线设计，65W超级闪充,http://detail.zol.com.cn/cell_phone/index1348585.shtml,OPPO,http://detail.zol.com.cn/1349/1348585/review.shtml,4796
1427782,OPPO K10x（8GB/128GB） ,1499,6400万超清三摄，67w闪充，高通骁龙695,http://detail.zol.com.cn/cell_phone/index1427782.shtml,OPPO,http://detail.zol.com.cn/1428/1427782/review.shtml,2039
1946976,OPPO A2 5G( 12GB/256GB) ,1699,大内存，33W超级闪充，金刚石抗摔结构,http://detail.zol.com.cn/cell_phone/index1946976.shtml,OPPO,http://detail.zol.com.cn/1947/1946976/review.shtml,122
1399645,OPPO K10（8GB/256GB） ,2199,天玑8000-MAX，金刚石VC液冷散热，120Hz高帧变速屏,http://detail.zol.com.cn/cell_phone/index1399645.shtml,OPPO,http://detail.zol.com.cn/1400/1399645/review.shtml,4121
1438886,OPPO Reno 10 Pro（16GB/256GB） ,3499,超光影人像，天玑8200旗舰芯片，100W超级快充,http://detail.zol.com.cn/cell_phone/index1438886.shtml,OPPO,http://detail.zol.com.cn/1439/1438886/review.shtml,187
1363222,OPPO Reno6（12GB/256GB/全网通/5G版） ,2999,6400万像素水光镜头，65w超级快充，90Hz高感屏，36个月流畅护航,http://detail.zol.com.cn/cell_phone/index1363222.shtml,OPPO,http://detail.zol.com.cn/1364/1363222/review.shtml,3515
1438887,OPPO Reno 10 Pro+（16GB/256GB） ,3899,旗舰级超光影人像，骁龙8+旗舰芯片，100W超级闪充,http://detail.zol.com.cn/cell_phone/index1438887.shtml,OPPO,http://detail.zol.com.cn/1439/1438887/review.shtml,190
1923518,OPPO A2x（6GB/128GB） ,1099,轻薄舒适手感，金刚石抗摔结构，300%超级音量,http://detail.zol.com.cn/cell_phone/index1923518.shtml,OPPO,http://detail.zol.com.cn/1924/1923518/review.shtml,114
