id,type,reference_price,descript,url,company,review_url,review_count
1494544,荣耀X50（8GB/128GB） ,1399,骁龙6芯片 ，1.5K，硬核曲屏,http://detail.zol.com.cn/cell_phone/index1494544.shtml,荣耀,http://detail.zol.com.cn/1495/1494544/review.shtml,555
1959987,荣耀Magic6(12GB/256GB) ,4399,单反级荣耀鹰眼相机，荣耀巨犀玻璃， 5450mAh,http://detail.zol.com.cn/cell_phone/index1959987.shtml,荣耀,http://detail.zol.com.cn/1960/1959987/review.shtml,2
1949055,荣耀100 Pro(12GB/256GB) ,3399,单反级写真相机，荣耀绿洲护眼屏，第二代骁龙8,http://detail.zol.com.cn/cell_phone/index1949055.shtml,荣耀,http://detail.zol.com.cn/1950/1949055/review.shtml,6
1948397,荣耀100(12GB/256GB) ,2499,单反级写真相机，荣耀绿洲护眼屏，第三代骁龙7,http://detail.zol.com.cn/cell_phone/index1948397.shtml,荣耀,http://detail.zol.com.cn/1949/1948397/review.shtml,2
1986534,荣耀Magic6至臻版(16GB/512GB) ,6999,第三代骁龙8，5000mAh电池，单反级超动态鹰眼相机,http://detail.zol.com.cn/cell_phone/index1986534.shtml,荣耀,http://detail.zol.com.cn/1987/1986534/review.shtml,2
1967015,荣耀90 GT(12GB/256GB) ,2599,二代骁龙8旗舰芯 ，超凡帧画引擎，荣耀绿洲护眼屏,http://detail.zol.com.cn/cell_phone/index1967015.shtml,荣耀,http://detail.zol.com.cn/1968/1967015/review.shtml,2
1974001,荣耀Magic6 Pro(12GB/256GB) ,5699,单反级荣耀鹰眼相机，第三代骁龙8，荣耀巨犀玻璃,http://detail.zol.com.cn/cell_phone/index1974001.shtml,荣耀,http://detail.zol.com.cn/1975/1974001/review.shtml,3
1494545,荣耀X50 GT(12GB/256GB) ,2199,骁龙8+芯片，苍穹散热系统，灵龙触控引擎,http://detail.zol.com.cn/cell_phone/index1494545.shtml,荣耀,http://detail.zol.com.cn/1495/1494545/review.shtml,3
1974012,荣耀Magic6( 16GB/256GB) ,4699,单反级荣耀鹰眼相机，荣耀巨犀玻璃， 5450mAh,http://detail.zol.com.cn/cell_phone/index1974012.shtml,荣耀,http://detail.zol.com.cn/1975/1974012/review.shtml,3
1447713,荣耀90（12GB/256GB） ,2499,2亿像素，零风险调光，骁龙7增强版,http://detail.zol.com.cn/cell_phone/index1447713.shtml,荣耀,http://detail.zol.com.cn/1448/1447713/review.shtml,17
1957926,荣耀100(16GB/256GB) ,2799,单反级写真相机，荣耀绿洲护眼屏，第三代骁龙7,http://detail.zol.com.cn/cell_phone/index1957926.shtml,荣耀,http://detail.zol.com.cn/1958/1957926/review.shtml,2
1554341,荣耀Magic V2（16GB/256GB） ,8999,CPU型号:高通 骁龙8 Gen2 CPU核心数:八核 RAM容量:8GB ROM容量:256GB 电池容量:5000mAh 后置摄像头1 后置摄像头:5400万像素 有线充电:66w,http://detail.zol.com.cn/cell_phone/index1554341.shtml,荣耀,http://detail.zol.com.cn/1555/1554341/review.shtml,8
1968651,荣耀90 GT(24GB/1TB) ,3699,二代骁龙8旗舰芯 ，超凡帧画引擎，荣耀绿洲护眼屏,http://detail.zol.com.cn/cell_phone/index1968651.shtml,荣耀,http://detail.zol.com.cn/1969/1968651/review.shtml,2
1427939,荣耀Magic5 Pro（8GB/256GB） ,5199,骁龙8Gen2，MagicRing，Magic Text，GPU Turbo X,http://detail.zol.com.cn/cell_phone/index1427939.shtml,荣耀,http://detail.zol.com.cn/1428/1427939/review.shtml,50
1447715,荣耀90 Pro（12GB/256GB） ,3299,2亿像素，零风险调光，100W充电,http://detail.zol.com.cn/cell_phone/index1447715.shtml,荣耀,http://detail.zol.com.cn/1448/1447715/review.shtml,22
1974019,荣耀Magic6 Pro(16GB/1TB) ,6699,单反级荣耀鹰眼相机，第三代骁龙8，荣耀巨犀玻璃,http://detail.zol.com.cn/cell_phone/index1974019.shtml,荣耀,http://detail.zol.com.cn/1975/1974019/review.shtml,3
1796413,荣耀X50（16GB/512GB） ,1999,骁龙6芯片 ，1.5K，硬核曲屏,http://detail.zol.com.cn/cell_phone/index1796413.shtml,荣耀,http://detail.zol.com.cn/1797/1796413/review.shtml,555
1857504,荣耀Magic Vs2（12GB/256GB） ,6999,超轻薄机身，零风险调光护眼双屏，5000mAh超长续航,http://detail.zol.com.cn/cell_phone/index1857504.shtml,荣耀,http://detail.zol.com.cn/1858/1857504/review.shtml,2
1629849,荣耀90（16GB/256GB） ,2799,2亿像素，零风险调光，骁龙7增强版,http://detail.zol.com.cn/cell_phone/index1629849.shtml,荣耀,http://detail.zol.com.cn/1630/1629849/review.shtml,17
1986535,荣耀Magic6 RSR保时捷设计(24GB/1TB) ,9999,经典六边形结构，单反级超动态鹰眼相机 ，荣耀叠光绿洲护眼屏,http://detail.zol.com.cn/cell_phone/index1986535.shtml,荣耀,,0
1430940,荣耀畅玩40（6GB/128GB） ,1399,5200mAh电池，高清护眼大屏，90Hz,http://detail.zol.com.cn/cell_phone/index1430940.shtml,荣耀,http://detail.zol.com.cn/1431/1430940/review.shtml,2
1368418,荣耀Magic3（8GB/128GB/全网通/5G版） ,4299,高通骁龙888处理器，6.76英寸超曲屏，多主摄计算摄影，66W超级快充,http://detail.zol.com.cn/cell_phone/index1368418.shtml,荣耀,http://detail.zol.com.cn/1369/1368418/review.shtml,3463
1426635,荣耀Magic5（8GB/256GB） ,3999,骁龙8Gen2，MagicOS7.1，6.73英寸OLED屏，66W有线快充,http://detail.zol.com.cn/cell_phone/index1426635.shtml,荣耀,http://detail.zol.com.cn/1427/1426635/review.shtml,42
1957928,荣耀100 Pro(16GB/256GB) ,3699,单反级写真相机，荣耀绿洲护眼屏，第二代骁龙8,http://detail.zol.com.cn/cell_phone/index1957928.shtml,荣耀,http://detail.zol.com.cn/1958/1957928/review.shtml,7
